ANYO_ACADEMICO;COD_PROV;NOM_PROV;COD_MUN;NOM_MUN;COD_CENTRO;NOM_CENTRO;COD_FAMILIA;NOM_FAMILIA;COD_GRADO;NOM_GRADO;COD_CICLO;NOM_CICLO;COD_CURSO;CURSO;COD_TURNO;NOM_TURNO;NUM_GRUPOS;NUM_ALUMNOS
2019;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03000400;IES COTES BAIXES;192;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;FPB;FP BÁSICA;95910A;MANTENIMIENTO DE VEHÍCULOS;1CFB;PRIMERO;2;VESPERTINO;1;11
2019;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03000400;IES COTES BAIXES;192;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;FPB;FP BÁSICA;95910A;MANTENIMIENTO DE VEHÍCULOS;2CFB;SEGUNDO;2;VESPERTINO;1;7
2019;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03000400;IES COTES BAIXES;192;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;GM;GRADO MEDIO;839103;ELECTROMECÁNICA DE VEHÍCULOS AUTOMÓVILES (LOE);1CFM;PRIMERO;4;MATUTINO;1;28
2019;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03000400;IES COTES BAIXES;192;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;GM;GRADO MEDIO;839103;ELECTROMECÁNICA DE VEHÍCULOS AUTOMÓVILES (LOE);2CFM;SEGUNDO;4;MATUTINO;1;21
2019;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03000400;IES COTES BAIXES;192;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;GM;GRADO MEDIO;930103;CONDUCCIÓN DE VEHÍCULOS DE TRANSPORTE POR CARRETERA;1CFM;PRIMERO;2;VESPERTINO;1;8
2019;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03000400;IES COTES BAIXES;192;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;GM;GRADO MEDIO;930103;CONDUCCIÓN DE VEHÍCULOS DE TRANSPORTE POR CARRETERA;2CFM;SEGUNDO;2;VESPERTINO;1;9
2019;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03000400;IES COTES BAIXES;192;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;GS;GRADO SUPERIOR;032104;AUTOMOCIÓN (LOE);1CFS;PRIMERO;2;VESPERTINO;1;28
2019;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03000400;IES COTES BAIXES;192;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;GS;GRADO SUPERIOR;032104;AUTOMOCIÓN (LOE);1CFS;PRIMERO;4;MATUTINO;1;2
2019;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03000400;IES COTES BAIXES;192;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;GS;GRADO SUPERIOR;032104;AUTOMOCIÓN (LOE);2CFS;SEGUNDO;-1;OTROS;1;1
2019;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03000400;IES COTES BAIXES;192;TRANSPORTE Y MANTENIMIENTO DE VEHÍCULOS;GS;GRADO SUPERIOR;032104;AUTOMOCIÓN (LOE);2CFS;SEGUNDO;2;VESPERTINO;1;28
2019;03;ALICANTE/ALACANT;03009;ALCOI/ALCOY;03000424;CENTRE PRIVAT SALESIANOS JUAN XXIII;001;ADMINISTRACIÓN Y GESTIÓN;GM;GRADO MEDIO;472103;GESTIÓN ADMINISTRATIVA (LOE);1CFM;PRIMERO;-1;OTROS;1;5
