ANYO_ACADEMICO;COD_PROV;NOM_PROV;COD_MUN;NOM_MUN;COD_CONSER;NOM_CONSER;COD_GRADO;DESC_GRADO;CURSO;ESPECIALIDAD;MATRICULADOS
2022-2023;12;CASTELLÓN/CASTELLÓ;12040;CASTELLÓ DE LA PLANA;12007905;CENTRE ENS. PROFESSIONALS DE DANSA BETANIA;P;ENSEÑANZA PROFESIONAL DANZA;3º ENSEÑANZA PROFESIONAL DANZA;DANZA CLÁSICA;1
2022-2023;12;CASTELLÓN/CASTELLÓ;12040;CASTELLÓ DE LA PLANA;12007905;CENTRE ENS. PROFESSIONALS DE DANSA BETANIA;P;ENSEÑANZA PROFESIONAL DANZA;4º ENSEÑANZA PROFESIONAL DANZA;DANZA CLÁSICA;5
2022-2023;12;CASTELLÓN/CASTELLÓ;12040;CASTELLÓ DE LA PLANA;12008338;CONSERVATORI PROFESSIONAL DE DANSA;P;ENSEÑANZA PROFESIONAL DANZA;1º ENSEÑANZA PROFESIONAL DANZA;DANZA CLÁSICA;5
2022-2023;12;CASTELLÓN/CASTELLÓ;12040;CASTELLÓ DE LA PLANA;12008338;CONSERVATORI PROFESSIONAL DE DANSA;P;ENSEÑANZA PROFESIONAL DANZA;1º ENSEÑANZA PROFESIONAL DANZA;DANZA CONTEMPORÁNEA;3
2022-2023;12;CASTELLÓN/CASTELLÓ;12040;CASTELLÓ DE LA PLANA;12008338;CONSERVATORI PROFESSIONAL DE DANSA;P;ENSEÑANZA PROFESIONAL DANZA;2º ENSEÑANZA PROFESIONAL DANZA;DANZA CLÁSICA;9
2022-2023;12;CASTELLÓN/CASTELLÓ;12040;CASTELLÓ DE LA PLANA;12008338;CONSERVATORI PROFESSIONAL DE DANSA;P;ENSEÑANZA PROFESIONAL DANZA;2º ENSEÑANZA PROFESIONAL DANZA;DANZA CONTEMPORÁNEA;10
2022-2023;12;CASTELLÓN/CASTELLÓ;12040;CASTELLÓ DE LA PLANA;12008338;CONSERVATORI PROFESSIONAL DE DANSA;P;ENSEÑANZA PROFESIONAL DANZA;3º ENSEÑANZA PROFESIONAL DANZA;DANZA CLÁSICA;7
2022-2023;12;CASTELLÓN/CASTELLÓ;12040;CASTELLÓ DE LA PLANA;12008338;CONSERVATORI PROFESSIONAL DE DANSA;P;ENSEÑANZA PROFESIONAL DANZA;3º ENSEÑANZA PROFESIONAL DANZA;DANZA CONTEMPORÁNEA;7
2022-2023;12;CASTELLÓN/CASTELLÓ;12040;CASTELLÓ DE LA PLANA;12008338;CONSERVATORI PROFESSIONAL DE DANSA;P;ENSEÑANZA PROFESIONAL DANZA;4º ENSEÑANZA PROFESIONAL DANZA;DANZA CLÁSICA;10
2022-2023;12;CASTELLÓN/CASTELLÓ;12040;CASTELLÓ DE LA PLANA;12008338;CONSERVATORI PROFESSIONAL DE DANSA;P;ENSEÑANZA PROFESIONAL DANZA;4º ENSEÑANZA PROFESIONAL DANZA;DANZA CONTEMPORÁNEA;13
